StudyHours	AttendanceRate	AssignmentsCompleted	OnlineActivity	SleepHours	SocialActivity	MidtermScore	FinalScore	Cluster
8.2	98.5	75.0	1.0	6.8	0.0	30.7	44.7	1
30.5	94.1	67.8	4.7	7.0	3.9	62.2	89.4	0
25.0	87.1	77.2	8.3	7.0	2.0	56.9	77.9	3
29.5	87.4	65.3	11.2	8.0	0.7	58.7	82.5	3
19.7	82.0	87.9	9.3	6.7	3.2	56.0	78.3	3
30.7	97.4	75.7	3.9	7.1	2.4	51.4	100.0	0
49.9	98.1	94.5	3.9	6.3	0.6	76.5	100.0	0
31.5	76.2	89.4	2.7	6.9	3.5	61.3	99.0	0
18.2	83.5	80.2	4.3	5.7	2.6	58.0	76.1	3
21.6	83.6	82.6	8.3	8.3	3.2	64.4	76.6	3
21.4	84.7	80.2	10.1	6.1	1.9	47.3	82.2	3
10.6	85.6	73.5	6.9	8.4	2.9	58.4	60.8	1
22.4	94.5	80.0	5.4	6.9	0.3	52.7	93.2	3
30.9	77.5	87.4	3.3	8.0	5.9	55.9	81.8	2
14.8	76.5	78.1	5.7	6.1	3.1	44.5	72.0	1
33.4	97.4	86.3	6.5	4.6	5.1	50.0	97.4	3
28.9	80.4	67.4	2.3	5.0	2.1	55.6	79.7	2
19.1	72.4	70.9	8.3	10.0	0.9	60.0	86.2	2
23.9	80.1	69.0	4.9	6.3	1.8	58.5	98.5	2
37.8	81.7	71.5	8.2	8.3	2.4	67.3	96.3	0
30.9	100.0	99.3	6.0	5.4	2.3	65.8	94.3	0
25.1	94.2	90.9	6.7	7.2	5.3	67.4	91.8	0
23.1	96.5	63.8	4.2	7.4	1.2	50.2	91.0	3
25.6	93.2	86.6	5.1	10.0	1.6	65.0	100.0	0
25.0	94.5	74.1	7.6	6.6	3.6	55.3	79.5	3
8.2	78.1	69.8	5.7	6.1	0.1	37.0	58.3	1
41.3	83.0	57.7	3.2	7.4	2.4	71.9	100.0	0
26.2	75.1	94.6	6.3	5.9	2.7	56.6	79.9	2
28.2	82.9	59.5	7.0	7.5	3.2	52.5	81.7	2
24.5	91.8	79.2	9.4	6.9	3.0	49.2	72.4	3
19.1	86.3	65.8	8.9	6.1	5.5	49.0	81.8	3
23.5	98.1	91.6	5.8	7.6	1.2	53.5	87.2	3
12.2	73.6	75.0	4.6	7.1	1.5	54.3	79.0	2
25.0	90.0	78.0	5.4	7.9	3.4	69.3	100.0	0
25.0	72.5	78.5	4.7	9.0	2.8	44.4	62.1	1
16.7	85.9	84.5	7.3	6.4	3.0	58.9	67.7	1
21.5	92.4	80.2	8.6	6.5	0.4	65.1	100.0	3
35.3	82.9	79.4	9.1	5.4	5.8	57.7	81.4	3
25.1	90.5	72.2	5.0	7.6	3.2	48.1	80.3	3
15.1	75.4	56.4	4.7	6.2	0.1	51.5	67.2	1
30.8	90.6	90.8	1.2	8.4	0.8	57.6	87.1	2
29.3	100.0	75.4	3.0	6.2	3.9	69.8	89.2	0
30.7	75.0	70.0	5.9	6.4	0.5	57.3	83.3	2
44.2	97.2	58.9	6.9	8.2	4.0	87.1	100.0	0
42.5	85.4	54.2	7.2	7.8	0.7	70.0	100.0	0
19.5	71.6	69.5	4.0	7.7	1.0	51.6	69.1	2
38.0	73.7	93.3	4.8	6.5	2.7	81.3	100.0	0
28.1	85.2	71.6	5.3	5.3	1.6	61.1	82.1	3
29.0	81.0	86.0	5.0	6.1	1.7	53.6	88.5	2
25.0	71.9	71.0	7.7	5.8	0.2	36.7	59.2	1
23.6	68.1	89.6	2.7	7.7	2.0	49.5	78.6	2
18.5	76.5	74.7	3.1	7.3	3.8	52.1	68.7	1
31.6	86.9	61.5	5.3	6.3	5.3	68.6	89.4	0
33.6	84.9	76.0	2.6	6.5	3.7	51.6	91.8	2
8.4	80.0	100.0	1.2	7.6	3.5	43.3	63.7	1
24.8	87.0	100.0	2.3	6.6	0.0	66.3	82.8	2
34.0	95.4	87.3	5.4	6.3	2.5	66.8	96.9	0
23.5	88.9	77.9	7.6	9.4	1.5	66.1	78.7	2
30.8	83.8	84.6	7.6	6.3	0.2	49.4	79.4	3
27.8	94.3	84.8	10.0	7.8	0.6	58.3	87.6	3
27.7	75.4	79.4	6.3	7.5	3.5	58.0	78.6	2
22.8	82.8	86.6	6.6	5.2	1.7	58.7	89.3	3
15.3	83.0	83.1	5.4	6.2	0.3	42.5	68.8	1
16.0	72.6	75.3	5.5	8.0	1.5	51.0	79.5	2
30.7	80.8	62.1	11.2	6.8	2.9	63.8	100.0	0
25.2	64.3	73.1	6.7	5.2	1.5	53.0	77.8	2
23.9	100.0	92.0	6.9	7.5	0.7	61.4	74.6	3
21.6	75.6	79.5	3.1	6.3	1.1	54.9	81.3	2
22.6	100.0	84.5	7.0	7.5	3.8	52.0	93.6	3
33.4	85.4	75.8	7.6	10.0	0.0	61.7	100.0	0
14.3	80.1	76.4	7.6	7.7	2.3	36.5	61.7	1
30.9	87.1	64.7	5.7	6.7	1.4	63.2	85.6	0
23.4	91.5	63.7	5.6	5.7	1.1	42.0	84.7	3
25.3	91.6	98.1	5.8	8.2	4.0	55.9	84.9	3
37.9	92.7	73.7	6.0	6.3	4.0	70.4	100.0	0
24.8	81.3	68.9	9.2	6.7	2.7	55.9	78.6	3
27.3	80.2	100.0	8.7	9.2	1.7	73.9	100.0	0
15.6	69.1	92.2	7.9	6.6	2.7	50.2	69.0	1
23.2	90.2	74.4	11.1	8.5	3.1	54.0	80.2	3
29.9	95.8	86.4	0.0	7.5	2.3	66.3	88.4	0
12.6	100.0	76.5	4.8	6.3	3.1	39.6	57.5	1
26.6	88.1	69.6	6.0	7.4	2.0	65.7	96.3	0
25.8	77.3	87.1	4.3	6.1	0.0	52.2	77.8	2
25.3	68.0	75.1	3.7	8.1	2.2	62.5	79.0	2
33.3	95.4	81.1	1.7	8.5	3.5	67.3	96.8	0
27.7	67.0	95.3	5.2	7.1	2.5	60.5	75.3	2
36.8	81.6	93.7	8.2	8.6	3.0	60.7	96.0	0
17.1	82.8	71.7	7.9	7.2	2.1	41.6	70.1	1
26.1	84.3	87.3	4.1	8.1	2.2	48.5	74.7	2
25.7	85.4	63.1	6.6	10.0	2.8	44.2	83.4	2
16.4	86.4	86.8	9.4	10.0	5.4	47.4	61.6	1
32.7	60.8	82.2	2.2	6.8	3.8	54.2	81.2	2
43.6	85.1	85.7	5.6	7.4	3.6	78.1	100.0	0
24.9	62.7	75.5	6.7	5.7	2.8	45.3	73.3	2
29.0	92.3	100.0	6.0	8.0	0.5	77.1	87.2	0
25.7	79.4	66.5	8.1	7.5	4.3	48.7	58.0	1
19.3	63.4	94.6	2.3	6.1	3.9	42.2	70.5	1
25.0	76.9	64.5	3.5	8.4	3.0	33.3	62.4	1
13.9	96.9	88.6	1.7	6.4	3.3	47.5	70.5	1
38.6	87.0	80.8	8.0	7.5	2.2	66.2	100.0	0
24.1	88.4	72.6	7.1	6.4	3.6	59.4	84.8	3
22.2	96.8	82.1	7.9	7.0	1.2	63.6	93.2	3
16.0	92.5	100.0	7.3	6.3	0.7	51.0	78.6	3
25.0	91.8	66.9	3.1	7.8	2.7	59.3	91.7	2
25.5	72.1	71.7	5.0	6.3	2.0	46.8	70.1	2
33.2	99.7	84.3	6.1	5.8	2.3	85.6	100.0	0
29.0	70.8	76.2	3.8	6.9	0.6	74.9	86.1	2
27.0	94.2	78.5	6.5	10.0	3.0	58.8	87.4	0
25.6	69.8	96.1	3.1	7.9	0.9	46.4	76.6	2
28.2	91.0	37.7	6.7	7.6	3.2	52.5	81.3	2
26.6	100.0	71.0	10.4	6.4	0.4	61.7	80.9	3
16.8	82.9	53.9	2.9	6.5	1.2	54.8	64.4	1
25.4	82.4	62.1	5.9	5.2	1.0	42.6	82.9	2
25.0	91.1	100.0	6.0	9.2	3.4	43.9	66.6	1
25.6	81.7	89.0	3.9	7.3	1.8	57.6	83.5	2
21.2	100.0	94.3	7.8	7.2	3.1	45.3	80.9	3
45.3	86.9	78.8	4.9	7.2	4.2	69.8	100.0	0
24.7	81.8	91.4	7.9	9.5	5.2	59.0	81.5	2
13.8	79.6	53.5	6.9	7.4	2.8	46.0	68.6	1
23.9	75.7	95.6	6.0	6.8	0.8	48.8	69.2	1
29.2	78.7	67.7	3.4	9.2	4.4	59.3	86.8	2
20.3	80.1	87.6	6.8	5.0	2.4	45.3	72.6	1
12.3	78.4	84.7	2.2	5.2	4.5	48.6	66.2	1
31.5	100.0	81.3	3.6	6.8	3.0	66.1	98.3	0
14.0	74.7	59.6	0.0	7.3	0.0	50.6	64.6	2
21.5	86.5	81.5	2.6	8.0	1.6	56.1	83.7	2
22.9	90.9	94.4	5.2	5.9	1.7	56.8	81.5	3
24.4	91.3	72.0	3.4	6.7	2.0	55.9	82.7	3
30.5	84.4	99.7	3.9	6.0	1.1	58.3	83.5	3
19.5	82.6	66.9	9.5	8.3	1.1	57.5	83.0	2
22.8	89.5	80.1	8.6	8.5	4.5	54.8	82.2	3
24.9	87.7	100.0	6.0	9.3	0.0	60.8	84.2	2
26.2	82.4	69.8	8.0	7.4	1.4	60.9	79.2	2
25.8	69.4	95.8	9.0	9.2	3.4	47.7	95.9	2
28.5	80.3	100.0	7.5	6.2	1.7	56.0	63.2	3
31.8	73.5	82.6	6.7	7.3	3.1	59.4	83.8	2
28.1	78.3	72.1	8.7	5.7	1.9	58.5	83.4	2
28.6	85.3	68.4	7.9	7.7	3.2	62.5	98.5	0
25.4	100.0	99.2	5.5	4.1	0.0	59.4	93.1	3
28.8	79.6	100.0	4.6	8.3	1.9	55.3	83.6	2
25.0	92.7	79.5	8.9	8.0	0.0	70.0	100.0	0
19.5	88.1	95.6	4.5	6.3	2.4	55.4	82.4	3
19.7	98.0	79.3	4.1	7.3	0.8	53.6	77.1	3
20.4	90.8	66.8	8.6	5.2	0.8	51.0	85.5	3
29.3	74.9	96.9	6.6	6.1	4.7	60.3	85.4	3
33.3	67.8	100.0	11.3	9.0	2.9	60.3	100.0	0
21.7	88.1	64.7	3.8	5.6	0.2	43.1	88.3	3
32.3	79.7	64.4	4.7	7.0	2.4	53.7	92.5	2
26.0	75.2	80.6	8.8	5.3	2.3	65.6	84.8	3
24.0	72.3	94.3	2.8	7.4	0.0	56.6	75.7	2
23.3	86.6	63.0	9.3	7.7	3.0	50.7	88.0	3
31.0	100.0	83.4	3.0	7.9	3.9	60.4	100.0	0
27.6	80.9	71.1	7.5	7.6	1.9	51.4	82.3	2
25.0	90.9	90.5	1.4	8.7	2.1	67.1	100.0	0
18.2	84.0	68.0	6.1	6.3	1.7	58.9	82.3	3
29.1	72.1	91.6	2.6	5.7	3.1	56.3	92.4	2
20.8	92.3	77.6	10.8	6.3	2.1	60.7	78.0	3
18.0	74.1	65.9	3.3	5.4	2.2	61.8	79.7	2
24.9	85.2	81.0	3.9	7.1	1.3	53.5	100.0	2
26.1	81.6	50.9	7.3	6.8	5.6	47.1	81.1	2
23.5	74.4	85.1	7.7	5.1	3.6	47.7	79.2	3
16.0	88.9	53.4	4.2	7.0	2.9	50.3	77.9	1
27.2	76.6	41.4	4.0	8.5	0.0	58.1	76.9	2
8.4	79.9	44.9	5.9	7.7	1.9	57.2	81.9	2
25.0	48.6	99.9	3.0	4.7	0.8	52.9	73.0	2
25.1	100.0	78.8	7.0	7.0	4.0	55.4	93.0	3
31.4	90.5	72.0	8.2	6.1	0.6	66.8	98.9	0
25.0	77.3	94.2	7.4	7.0	3.2	67.3	100.0	0
21.0	73.8	73.9	7.6	6.5	4.0	60.8	74.3	2
23.8	80.0	84.0	1.2	9.1	2.9	47.9	68.0	2
18.9	92.2	80.4	4.8	7.1	2.5	62.7	81.8	3
16.0	66.1	72.9	5.4	7.4	1.9	64.0	76.3	2
27.5	83.6	84.4	9.6	6.9	2.3	67.7	88.9	0
14.8	100.0	91.6	4.5	7.6	0.5	62.0	75.6	3
21.7	73.7	77.2	0.2	6.7	2.8	49.1	77.5	2
17.0	85.8	73.1	3.5	7.9	4.1	63.3	71.2	2
29.4	100.0	74.9	4.3	6.5	1.2	58.5	100.0	0
39.4	91.3	45.5	0.6	8.7	2.5	68.0	100.0	0
14.6	86.3	84.2	8.4	7.6	2.3	45.4	73.4	1
10.2	90.1	61.9	2.1	6.8	3.0	41.8	54.7	1
24.0	81.0	89.4	7.1	8.0	1.7	55.1	93.1	2
25.1	98.0	78.6	3.3	7.6	0.2	49.9	90.7	3
26.7	81.0	81.6	6.0	8.0	0.8	52.1	89.2	2
21.4	65.4	90.5	5.3	7.1	0.0	43.6	60.3	1
23.4	81.1	66.1	4.8	6.7	3.7	66.2	79.5	2
27.9	75.3	85.5	7.3	7.2	3.1	69.4	91.8	0
9.4	82.4	77.2	7.4	8.2	1.5	43.9	57.1	1
22.0	97.0	66.1	4.8	8.8	2.3	56.3	91.2	3
26.7	92.0	88.9	4.5	7.7	2.5	64.6	87.2	0
17.7	87.6	90.6	5.8	8.7	1.7	41.8	74.9	1
38.8	85.0	81.7	3.3	8.4	1.8	59.5	94.9	0
19.9	74.4	63.9	5.5	6.7	4.5	39.1	73.3	1
24.7	63.2	72.1	6.8	8.0	0.6	59.3	70.6	2
29.4	86.1	79.1	0.2	5.5	4.0	53.5	93.2	3
20.3	92.9	90.3	8.7	7.2	0.1	61.7	100.0	3
10.2	83.9	56.2	8.0	5.6	4.9	41.8	57.4	1
21.6	79.7	71.5	1.4	6.9	0.0	53.2	73.6	2
33.2	89.6	74.0	1.0	5.3	3.2	62.1	100.0	0
22.3	84.2	78.8	8.1	8.3	1.5	55.8	82.2	2
18.2	100.0	60.5	7.9	6.5	2.2	50.0	70.0	3
32.4	97.3	76.7	7.6	8.1	2.3	71.7	100.0	0
22.4	94.6	75.3	2.4	6.9	3.4	54.7	85.6	3
20.9	92.6	64.4	10.6	4.8	0.0	57.3	78.6	3
26.2	72.1	78.2	4.1	6.4	2.5	56.3	76.9	2
31.2	91.6	71.9	6.6	6.4	2.8	54.5	99.7	0
44.1	88.8	87.4	6.6	7.0	1.5	81.5	100.0	0
31.6	91.1	66.7	10.0	8.8	2.3	57.5	83.4	0
34.3	89.9	81.3	6.3	9.0	1.5	70.3	96.1	0
21.0	89.5	67.9	7.0	6.7	3.3	59.6	89.7	3
16.8	100.0	71.0	5.8	5.5	3.0	41.4	72.0	3
25.5	84.2	84.5	3.0	6.1	2.8	55.4	80.1	3
25.9	94.4	83.5	0.2	7.6	3.5	62.9	90.3	0
25.0	80.3	73.7	6.1	6.9	4.4	47.2	73.5	1
23.6	92.9	76.0	2.5	5.1	1.0	55.7	98.1	3
28.2	94.4	58.2	6.9	6.4	5.8	61.9	95.2	0
27.9	88.6	100.0	6.4	8.6	3.1	56.4	100.0	0
29.0	100.0	90.3	6.3	7.4	1.7	64.5	100.0	0
27.3	76.2	89.8	3.4	7.1	5.9	57.2	81.6	2
20.9	80.1	56.1	8.6	6.5	1.9	51.2	84.1	2
20.9	87.1	71.1	7.2	6.4	0.7	46.5	82.6	3
15.4	93.8	75.0	3.0	7.7	1.7	53.7	85.3	3
25.1	97.9	93.3	5.5	7.9	4.1	60.5	90.8	3
23.2	78.4	100.0	2.7	7.7	2.3	54.3	76.2	2
17.6	73.6	100.0	4.1	7.0	2.7	43.1	68.9	1
48.5	88.1	64.3	2.2	7.5	2.6	64.2	100.0	0
16.4	84.2	81.8	9.4	6.3	4.2	53.1	72.0	1
21.6	90.4	99.8	8.7	6.9	2.0	52.9	72.0	3
32.7	84.3	52.0	9.1	6.7	1.9	65.7	99.5	0
39.5	85.3	97.0	5.4	7.3	3.3	74.4	100.0	0
29.0	82.0	79.7	7.1	5.6	3.6	57.9	86.4	3
16.6	83.0	69.1	4.0	7.3	5.0	43.1	78.4	1
22.9	81.0	84.3	5.6	9.0	2.3	57.6	89.8	2
25.0	93.6	82.3	7.1	6.0	2.1	57.5	82.2	3
41.5	86.9	82.5	0.0	7.3	3.1	75.7	100.0	0
13.8	100.0	76.7	6.0	7.0	1.8	50.5	77.5	3
34.6	86.6	100.0	6.4	6.9	1.5	47.9	91.1	3
31.7	100.0	100.0	4.9	7.9	1.9	58.4	81.2	3
24.2	89.1	88.5	7.5	5.7	2.1	59.9	88.1	3
18.3	94.9	85.3	4.2	7.8	3.4	49.2	63.7	1
31.0	90.9	78.3	2.9	7.1	3.0	65.6	92.5	0
30.2	91.2	94.6	9.0	4.9	5.5	56.4	97.0	3
32.8	90.4	81.7	8.6	7.5	3.9	78.6	100.0	0
24.9	74.0	66.0	4.5	7.1	1.3	53.4	75.7	2
20.2	88.7	65.5	5.8	6.0	1.9	55.5	87.6	3
31.6	83.3	66.4	6.1	5.4	1.0	58.0	88.7	2
28.4	77.7	79.1	7.3	6.2	4.4	61.7	100.0	0
17.3	88.6	95.9	7.2	7.0	2.1	50.9	79.2	3
20.7	88.3	84.6	5.2	5.0	0.4	32.9	66.1	1
21.3	89.8	69.2	7.3	5.6	0.0	58.2	67.2	3
13.1	87.9	100.0	3.6	5.8	0.3	52.6	73.6	3
18.5	78.9	88.2	7.0	7.1	1.3	56.2	72.0	1
15.9	82.4	95.3	5.8	7.5	2.5	57.6	74.7	1
21.7	94.2	46.0	5.1	5.9	1.9	56.8	82.4	3
19.1	95.7	85.0	2.9	5.9	3.5	71.6	69.7	3
12.0	73.5	92.6	6.3	7.2	1.1	46.8	61.3	1
41.2	69.7	100.0	6.1	7.1	4.3	49.1	85.7	2
