DeviceID,DeviceType,ActiveHours,PowerUsage,Temperature,SignalStrength,FirmwareAge,Power6Months,PowerPerHour
133,Light,8.58,53.33,26.7,-55.44,7,227922.43,6.2161
134,Plug,9.83,44.8,30.02,-41.34,57,192058.95,4.5593
135,Camera,20.04,72.69,38.1,-56.14,35,313625.11,3.6274
136,Sensor,14.23,87.77,32.04,-68.77,59,377409.97,6.1692
137,Camera,15.09,54.86,33.27,-72.75,53,238588.08,3.636
138,Speaker,14.81,34.78,37.67,-44.75,19,152251.09,2.3486
139,Plug,10.08,51.84,30.95,-48.28,55,225298.0,5.1438
140,Sensor,21.05,56.54,50.14,-67.82,37,242434.7,2.6858
141,Plug,8.6,50.98,27.37,-58.16,37,217812.96,5.9296
142,Light,16.49,58.95,26.68,-58.89,51,255298.04,3.5754
143,Camera,9.36,45.82,46.83,-34.45,44,195436.56,4.8933
144,Light,16.0,49.04,36.32,-64.79,9,210395.85,3.064
145,Plug,19.81,34.25,38.23,-64.02,7,148228.9,1.729
146,Light,20.64,46.1,35.72,-67.85,25,201092.17,2.2332
147,Camera,3.08,71.32,38.13,-58.04,47,309173.4,23.1835
148,Plug,12.34,27.08,41.28,-69.43,57,115942.2,2.1949
149,Speaker,9.35,56.32,42.82,-57.71,7,243764.89,6.023
150,Light,12.56,63.03,57.11,-51.35,7,271658.62,5.0169
151,Plug,15.5,60.67,35.01,-67.25,28,260991.45,3.914
152,Plug,16.04,26.45,44.12,-61.93,15,113652.85,1.6486
153,Light,12.55,74.16,40.05,-60.98,16,321222.84,5.9109
154,Light,5.89,23.22,30.96,-67.72,13,100387.67,3.9448
155,Speaker,14.17,30.19,35.68,-52.82,39,132164.25,2.1302
156,Camera,8.88,54.76,35.15,-42.47,48,235645.16,6.1641
157,Light,16.09,67.15,37.45,-60.44,4,290417.23,4.1727
158,Sensor,13.46,33.75,32.6,-44.92,21,146101.74,2.5075
159,Sensor,7.65,61.56,36.51,-61.44,6,265731.69,8.0435
160,Camera,24.0,57.6,33.58,-58.53,35,248860.89,2.3998
161,Plug,14.84,37.14,37.65,-59.88,6,158867.31,2.5026
162,Camera,11.69,44.83,27.85,-45.52,60,194086.08,3.8366
163,Camera,13.32,27.25,28.71,-44.09,58,118749.12,2.0459
164,Speaker,7.26,74.03,50.25,-50.79,12,320800.17,10.2029
165,Plug,11.55,70.59,24.92,-45.66,49,305184.66,6.1122
166,Speaker,12.07,32.89,59.2,-49.87,42,143396.4,2.7258
167,Plug,13.61,66.04,30.56,-56.42,10,284534.83,4.8525
168,Sensor,4.65,32.72,42.36,-49.72,42,142407.72,7.0319
169,Light,12.84,82.98,36.13,-49.82,22,359546.61,6.4622
170,Speaker,17.25,62.09,26.47,-60.58,24,268988.12,3.5986
171,Camera,4.21,83.15,34.05,-51.42,14,360288.18,19.7567
172,Light,9.85,39.3,43.0,-67.49,6,170489.9,3.9882
173,Camera,15.82,82.36,45.91,-71.85,34,356735.61,5.2054
174,Camera,7.39,54.58,33.29,-49.28,28,236006.08,7.3811
175,Plug,23.57,66.85,12.33,-36.54,13,288083.03,2.8367
176,Sensor,11.63,52.3,45.35,-52.26,56,224276.45,4.4965
177,Light,16.94,35.39,42.09,-47.59,7,153340.3,2.0887
178,Speaker,12.08,57.65,39.29,-47.42,3,249400.38,4.7726
179,Speaker,6.36,32.75,47.22,-41.45,31,142178.54,5.1475
180,Sensor,10.48,46.81,49.04,-42.56,26,202352.13,4.4676
181,Plug,11.75,35.4,54.13,-45.86,32,152338.91,3.0129
182,Plug,11.74,30.05,37.58,-71.75,17,130207.81,2.5605
183,Speaker,7.87,23.86,40.45,-41.46,26,103021.26,3.0323
184,Light,12.77,80.12,27.78,-64.59,15,345670.13,6.2736
185,Plug,9.87,39.17,34.64,-61.55,35,169257.65,3.9703
186,Camera,6.11,55.82,41.29,-61.09,31,240943.72,9.1408
187,Sensor,9.53,92.55,40.21,-58.12,19,400980.08,9.7139
188,Sensor,13.09,54.2,53.03,-48.45,30,233523.95,4.1414
189,Sensor,14.68,49.29,38.62,-56.86,50,209187.42,3.3582
190,Light,8.37,27.68,48.03,-53.07,11,117499.03,3.308
191,Camera,14.18,69.54,28.09,-51.77,57,303130.52,4.9026
192,Speaker,11.0,58.81,40.32,-69.05,41,252909.57,5.3485
193,Camera,19.86,57.78,36.62,-65.94,33,250936.69,2.9096
194,Light,9.93,57.57,44.27,-88.84,13,248400.1,5.7965
195,Plug,12.9,18.14,19.12,-41.2,14,76740.31,1.4061
196,Light,15.33,37.39,40.72,-62.88,11,161931.83,2.4383
197,Plug,14.1,54.19,46.31,-55.72,28,234456.62,3.8445
198,Sensor,13.37,82.79,36.91,-64.82,15,357403.24,6.1923
199,Plug,11.9,64.33,38.67,-53.71,54,275542.87,5.4044
200,Camera,8.34,49.44,38.61,-59.12,20,211947.04,5.9269
201,Speaker,9.08,35.15,33.65,-59.99,3,149725.22,3.8697
202,Sensor,19.19,27.27,33.3,-81.04,40,119159.15,1.421
203,Plug,7.5,97.8,29.58,-55.98,50,419699.62,13.0413
204,Light,7.83,41.49,29.18,-59.4,12,178000.74,5.3005
205,Sensor,13.25,52.88,42.89,-41.07,58,227904.78,3.9897
206,Plug,4.38,46.17,36.36,-72.27,28,199071.49,10.5286
207,Sensor,10.64,52.74,43.69,-38.22,28,229059.04,4.9548
208,Camera,16.56,31.65,33.24,-58.65,27,139138.21,1.9111
209,Light,9.34,38.91,39.2,-58.11,33,169330.14,4.1656
210,Speaker,13.28,65.58,22.27,-52.75,13,283838.38,4.9368
211,Light,,50.37,31.72,-42.91,25,218058.39,9.3177
212,Camera,14.39,51.62,36.8,-57.09,27,223750.32,3.587
213,Camera,9.54,36.92,34.0,-51.43,37,161191.73,3.8712
214,Plug,8.93,47.76,33.95,-65.01,34,209339.17,5.3486
215,Plug,,66.91,43.93,-32.82,1,288228.4,5.8104
216,Speaker,7.71,55.0,34.29,-60.76,9,239898.16,7.1341
217,Camera,19.14,68.93,38.23,-63.02,48,298430.55,3.6023
218,Sensor,12.78,50.13,41.28,-50.08,32,218029.69,3.9225
219,Light,19.08,42.76,46.33,-61.42,12,187183.77,2.2412
220,Speaker,12.17,42.34,34.55,-65.1,53,181933.7,3.4782
221,Camera,13.95,44.66,36.32,-56.35,2,194608.85,3.2008
222,Plug,9.35,27.96,26.62,-44.6,42,121112.42,2.9907
223,Plug,6.74,51.54,32.4,-46.89,29,220749.73,7.6414
224,Light,9.28,5.0,44.7,-43.13,44,19795.72,0.539
225,Sensor,5.22,62.34,31.04,-68.52,56,269130.85,11.9363
226,Sensor,11.47,68.67,30.96,-54.76,55,296456.87,5.984
227,Plug,19.78,48.57,33.57,-62.71,19,207525.87,2.4564
228,Plug,9.99,41.9,45.97,-60.4,23,182312.11,4.1938
229,Plug,15.41,39.54,39.05,-47.16,44,167253.92,2.5665
230,Speaker,18.49,75.43,35.21,-61.97,7,323550.08,4.0788
231,Light,15.62,50.9,42.05,-45.14,46,223154.74,3.2577
232,Camera,13.35,51.33,47.56,-56.7,51,218910.47,3.8451
233,Speaker,14.71,52.38,47.97,-45.46,3,226878.42,3.5603
234,Light,18.38,41.58,26.06,-59.75,53,178388.95,2.2614
235,Speaker,16.45,23.72,44.4,-35.66,41,102713.17,1.4419
236,Speaker,12.26,87.34,33.99,-54.41,27,374068.27,7.1216
237,Camera,9.16,,37.33,-50.59,52,245446.53,6.1678
238,Camera,9.24,53.63,39.18,-75.96,8,232946.2,5.8056
239,Sensor,12.13,40.01,41.28,-47.79,35,174122.33,3.2989
240,Plug,19.75,29.68,36.49,-79.92,42,128300.79,1.5028
241,Sensor,15.92,27.66,37.72,-55.32,14,120461.87,1.7379
242,Plug,10.82,73.86,49.11,-62.65,24,318644.55,6.8234
243,Speaker,12.35,79.55,43.16,-47.42,54,342701.91,6.4407
244,Plug,7.93,36.06,43.4,-34.94,2,153317.4,4.5476
245,Camera,18.46,88.61,45.81,-55.43,16,383935.69,4.8002
246,Plug,11.1,78.81,18.28,-66.04,3,339031.11,7.1014
247,Camera,23.38,36.87,17.25,-60.43,49,160099.31,1.5771
248,Light,7.18,38.13,35.89,-76.3,58,165415.16,5.3085
249,Camera,16.01,44.25,36.45,-84.26,29,190907.26,2.7636
250,Plug,8.74,44.63,41.76,-59.57,12,191894.56,5.1084
251,Light,9.0,64.6,40.7,-43.03,36,278024.09,7.1799
252,Light,9.21,35.67,52.15,-41.61,18,155481.11,3.8739
253,Sensor,10.25,70.87,49.12,-41.26,5,305846.81,6.9125
254,Sensor,6.35,90.51,43.95,-71.23,59,391641.98,14.2495
255,Camera,10.43,80.8,30.72,-76.72,25,349098.54,7.7433
256,Sensor,14.91,53.23,24.43,-74.19,6,232318.77,3.5696
257,Light,8.14,94.46,39.13,-75.74,7,409847.75,11.597
258,Plug,17.14,30.88,42.52,-42.6,22,137656.97,1.8022
259,Sensor,4.68,68.89,36.96,-40.47,44,295650.44,14.7096
260,Plug,5.93,33.94,30.85,-59.46,6,146867.69,5.7224
261,Camera,11.74,76.78,43.19,-60.69,22,333151.9,6.5381
262,Sensor,10.85,78.77,39.64,-61.51,49,339966.15,7.2618
263,Speaker,9.16,88.07,41.42,-66.18,38,379840.95,9.6133
264,Speaker,12.45,62.15,28.63,-51.43,44,268008.24,4.9928
265,Sensor,7.02,34.08,26.72,-57.91,30,145034.52,4.8552
266,Speaker,11.2,79.31,21.97,-75.78,23,343150.14,7.0803
267,Camera,12.32,25.8,42.12,-42.79,34,112396.91,2.0944
268,Speaker,6.07,67.52,30.18,-60.49,51,289639.4,11.1201
269,Speaker,13.2,42.86,47.5,-62.49,39,187681.95,3.2472
270,Light,14.5,74.47,56.38,-67.37,24,320357.08,5.1347
271,Plug,16.82,37.55,29.29,-66.78,51,160288.04,2.2329
272,Speaker,4.64,79.16,29.92,-66.3,49,339787.38,17.0598
273,Speaker,13.57,34.72,37.17,-73.03,35,150581.03,2.5581
274,Camera,15.7,40.85,34.25,-77.98,26,174373.94,2.603
275,Light,,83.22,51.56,-70.75,28,356965.93,6.4624
276,Light,16.35,49.72,31.15,-62.68,51,211972.27,3.0403
277,Sensor,13.98,64.36,49.64,-82.87,56,274449.54,4.6055
278,Light,3.04,20.48,42.26,-66.33,35,88559.24,6.7283
279,Plug,16.91,69.62,36.21,-66.56,8,301083.59,4.1167
280,Camera,11.09,69.55,41.16,-84.23,40,297464.1,6.2707
281,Sensor,8.23,55.59,34.36,-61.62,60,242887.81,6.7519
282,Sensor,10.53,67.43,51.97,-79.66,26,293217.36,6.4047
283,Light,,42.46,37.35,-53.84,10,185453.47,5.2592
284,Plug,15.58,29.99,28.97,-58.72,19,128407.26,1.9248
285,Camera,10.46,64.3,37.76,-52.01,26,279121.82,6.1477
286,Speaker,16.72,121.82,34.25,-69.33,35,526037.36,7.2879
287,Light,5.64,80.76,24.39,-39.94,33,352523.05,14.3254
288,Light,14.26,71.7,25.36,-60.74,9,309696.0,5.0282
289,Sensor,16.06,90.36,25.12,-54.63,43,389875.57,5.6246
290,Light,7.51,41.96,33.99,-68.2,46,179930.08,5.5885
291,Light,5.14,45.4,40.09,-66.9,53,194059.66,8.8321
292,Camera,14.1,62.66,34.91,-64.99,20,270379.14,4.4429
293,Camera,1.0,5.6,62.03,-79.95,18,24077.17,5.6034
294,Camera,16.51,40.59,26.25,-50.77,25,177678.23,2.4594
295,Light,12.78,81.56,43.33,-65.49,43,352171.24,6.3822
296,Light,12.16,104.53,51.64,-56.06,4,451339.29,8.5983
297,Plug,12.46,35.63,22.29,-69.06,41,156543.97,2.8593
298,Light,12.32,45.8,31.57,-66.06,19,199319.97,3.7184
299,Plug,12.5,32.03,48.03,-60.68,13,135607.39,2.5616
300,Camera,16.39,56.64,48.9,-78.35,56,241728.91,3.4566
301,Camera,11.42,68.09,17.81,-62.34,54,294139.07,5.962
302,Sensor,13.81,74.13,41.42,-70.57,9,319571.58,5.3672
303,Camera,9.94,,39.07,-56.11,45,162238.81,3.767
304,Sensor,9.73,90.5,47.15,-58.33,50,389902.55,9.3011
305,Plug,11.37,43.51,40.54,-45.36,10,189864.21,3.8259
306,Plug,15.87,54.65,47.6,-46.97,59,232532.73,3.4428
307,Camera,9.59,52.3,38.12,-62.64,9,223453.41,5.4521
308,Plug,15.02,24.13,39.48,-66.7,20,102004.99,1.607
309,Sensor,17.42,46.66,35.82,-58.61,4,201774.33,2.6783
310,Camera,13.69,61.87,31.92,-78.07,7,268585.45,4.5179
311,Sensor,17.43,67.47,28.9,-45.89,57,291891.84,3.8712
312,Plug,13.34,92.03,25.57,-54.08,15,396335.94,6.8991
313,Camera,11.05,45.87,31.17,-67.18,29,197861.21,4.1502
314,Sensor,15.16,57.37,40.18,-63.12,43,246878.89,3.7841
315,Sensor,8.24,67.57,43.22,-54.8,56,292297.28,8.2021
316,Light,8.12,67.81,48.8,-61.16,30,291892.74,8.3504
317,Plug,5.82,44.57,39.69,-50.9,4,191255.76,7.6599
318,Plug,2.76,47.31,39.97,-58.88,24,204671.14,17.1651
319,Light,9.16,57.07,28.85,-51.08,37,245375.82,6.2329
320,Light,9.72,,32.12,-80.83,16,385535.91,9.2028
321,Speaker,12.88,27.71,51.65,-51.92,47,120249.79,2.1507
322,Speaker,2.21,32.92,41.96,-61.89,48,140633.17,14.9047
323,Speaker,12.56,5.0,30.62,-67.34,20,19592.37,0.3982
324,Light,5.87,60.03,42.48,-56.71,54,257335.67,10.223
325,Light,7.31,33.25,16.57,-57.64,37,144674.03,4.5473
326,Plug,12.47,55.43,22.96,-37.05,23,236969.34,4.4433
327,Camera,12.37,18.42,46.09,-70.5,38,81688.35,1.4891
328,Sensor,19.51,69.6,33.28,-74.64,48,297916.6,3.5673
329,Camera,12.18,64.68,34.93,-49.56,19,279352.5,5.3119
330,Plug,6.78,41.08,38.78,-68.0,58,176132.36,6.062
331,Light,13.72,,38.63,-57.4,14,182687.86,3.0702
332,Camera,16.43,21.34,48.4,-52.4,16,92847.03,1.2991
333,Plug,16.44,73.9,17.32,-49.18,44,319657.86,4.4958
334,Light,13.44,40.46,40.49,-47.89,48,172865.67,3.0114
335,Sensor,20.84,37.56,28.67,-71.18,2,163103.26,1.8017
336,Light,14.28,72.13,40.33,-62.9,47,313997.69,5.0503
337,Plug,14.96,9.69,21.03,-50.19,48,42720.35,0.6482
338,Speaker,3.65,47.82,41.68,-54.4,36,205885.61,13.1172
339,Speaker,7.77,39.83,55.65,-63.95,9,172160.02,5.1273
340,Camera,17.83,90.92,35.88,-70.66,2,391110.68,5.0983
341,Light,19.73,44.16,29.23,-54.83,57,190185.68,2.2381
342,Sensor,16.82,91.84,63.09,-59.02,28,399891.5,5.4598
343,Plug,13.15,77.95,22.77,-43.06,39,338133.98,5.9265
344,Plug,11.02,66.2,36.65,-44.74,17,283854.14,6.0101
345,Plug,11.55,54.01,52.24,-90.0,2,233665.93,4.6753
346,Plug,12.48,43.15,44.53,-41.84,28,188115.52,3.4565
347,Speaker,14.87,53.42,26.19,-62.79,7,228870.85,3.5928
348,Sensor,10.46,36.6,45.11,-75.9,51,160560.38,3.4987
349,Light,16.66,49.78,51.29,-54.39,37,214824.79,2.988
350,Plug,14.99,27.9,49.7,-57.92,60,120957.94,1.8614
351,Plug,11.45,46.16,34.41,-40.77,52,202571.42,4.0307
352,Light,9.89,8.32,33.45,-68.28,37,36790.47,0.842
353,Plug,15.49,21.56,37.83,-48.17,38,95387.82,1.392
354,Light,8.34,58.43,43.6,-34.39,40,249944.71,7.0024
355,Light,4.21,14.43,26.16,-57.78,40,63504.18,3.4256
356,Sensor,14.8,25.89,18.09,-51.84,52,111595.07,1.7498
357,Plug,18.37,80.16,34.71,-44.8,36,345263.03,4.363
358,Camera,11.03,50.41,50.03,-57.37,1,218376.53,4.57
359,Plug,8.46,92.28,37.54,-59.7,30,398361.31,10.9128
360,Camera,4.79,22.46,48.39,-61.72,29,96511.92,4.6886
361,Light,15.06,10.94,48.34,-56.36,9,47396.03,0.7265
362,Sensor,5.85,79.34,42.63,-51.12,58,340623.71,13.5698
363,Speaker,9.69,78.98,50.77,-81.69,4,340036.13,8.1546
364,Camera,,86.13,47.97,-66.66,14,372348.28,10.1098
365,Sensor,13.82,36.06,38.93,-54.56,59,155782.7,2.6097
366,Light,8.95,28.3,35.7,-82.7,15,121759.23,3.1617
367,Speaker,5.79,82.9,41.24,-72.68,2,357410.21,14.3183
368,Speaker,5.15,5.0,51.06,-64.25,1,22236.46,0.97
369,Speaker,4.59,53.15,48.32,-46.72,7,230774.57,11.5858
370,Camera,12.44,32.78,43.32,-68.91,60,141152.82,2.6354
371,Sensor,15.76,32.31,52.76,-40.96,33,142171.8,2.0502
372,Sensor,9.12,57.92,41.43,-52.49,19,247912.26,6.3539
373,Plug,14.61,46.74,26.26,-62.14,44,198381.68,3.1985
374,Light,14.92,59.27,30.07,-78.22,57,255932.1,3.9732
375,Plug,12.26,12.46,34.5,-38.22,37,54686.53,1.0159
376,Light,9.62,81.18,33.44,-56.5,34,349801.54,8.442
377,Light,10.52,81.06,43.7,-72.34,54,351386.66,7.7083
378,Speaker,10.0,35.52,24.43,-66.48,25,151687.4,3.554
379,Speaker,11.72,100.39,25.54,-41.36,34,434631.38,8.5679
380,Camera,9.77,19.23,42.53,-77.63,2,81383.29,1.9684
381,Light,14.42,85.01,38.9,-40.96,51,368019.25,5.894
382,Sensor,16.72,37.18,47.79,-56.41,46,158567.52,2.2233
383,Camera,10.35,21.55,26.5,-54.37,27,94316.31,2.0819
384,Camera,14.63,32.43,35.45,-45.71,37,140514.33,2.2174
385,Light,18.12,46.64,51.86,-52.39,39,204119.09,2.5745
386,Light,12.9,54.86,38.03,-57.31,56,235651.49,4.2538
387,Plug,15.5,54.27,17.47,-56.41,43,234042.06,3.5012
388,Light,14.13,12.78,35.01,-55.4,55,52913.94,0.9045
389,Plug,8.96,76.23,33.16,-67.68,28,327074.03,8.5125
390,Speaker,13.96,49.33,34.93,-48.74,17,211266.02,3.5332
391,Light,14.26,33.12,15.1,-65.87,1,143882.21,2.3231
392,Plug,11.71,44.84,62.83,-76.8,32,191512.67,3.8278
393,Light,8.83,69.06,28.81,-42.77,55,297575.21,7.8171
394,Camera,11.98,91.49,37.01,-37.43,6,395882.68,7.6339
395,Plug,13.1,45.09,23.17,-41.36,48,193186.65,3.4419
396,Light,9.77,85.68,40.19,-53.06,3,371152.79,8.7664
397,Speaker,9.03,76.92,46.32,-65.51,30,331370.45,8.5222
398,Light,17.61,51.9,37.12,-47.48,53,225064.91,2.9469
