StudentID,Age,StudyHours,AttendanceRate,AssignmentsCompleted,OnlineActivity,SleepHours,SocialActivity,MidtermScore,FinalScore,GPA,GradePoints,PerformanceIndex,Major,City,Gender
40,29,20.8,90.3,75.8,7.7,4.4,3.2,59.2,94.3,3.95,98.8,76.73,DS,Đà Nẵng,Male
41,29,49.6,88.3,62.4,4.8,6.6,0.8,69.4,100.0,3.87,96.67,84.68,CE,Huế,Female
42,20,35.9,93.7,79.2,7.0,6.3,1.9,66.0,93.7,3.78,94.42,79.85,AI,Cần Thơ,Female
43,29,15.0,85.9,55.2,2.9,4.2,3.5,37.6,61.2,2.45,61.28,49.4,SE,Hà Nội,Male
44,24,26.9,94.8,76.5,,9.5,5.9,67.2,99.3,3.8,95.11,83.25,IT,Huế,Male
45,21,20.1,91.1,73.4,3.0,6.5,5.2,66.4,84.0,3.48,87.06,75.19,AI,Huế,Female
46,26,16.9,,78.0,,4.5,1.8,50.6,68.3,2.83,70.75,59.48,CS,Cần Thơ,Female
47,20,14.3,94.0,71.6,,6.7,1.5,44.2,62.4,2.96,73.98,53.28,CS,TP.HCM,Female
48,22,28.5,85.9,57.4,10.5,9.0,5.1,61.2,82.1,3.5,87.39,71.62,SE,Huế,Male
49,20,19.5,83.9,74.5,5.8,9.3,3.4,42.7,67.0,2.37,59.29,54.86,DS,Hà Nội,Male
50,24,32.7,80.2,94.0,10.9,7.1,1.8,58.3,96.5,4.0,100.0,77.43,DS,Hà Nội,Male
51,22,33.0,86.7,98.9,4.0,7.1,2.7,59.6,91.1,3.36,83.97,75.35,AI,Huế,Male
52,26,36.0,95.0,100.0,4.9,8.5,0.6,62.3,100.0,4.0,100.0,81.16,SE,Huế,Male
53,24,18.2,93.9,100.0,9.0,6.8,4.0,54.4,80.0,3.14,78.49,67.17,IT,Huế,Male
54,19,28.8,88.5,62.0,2.4,7.6,4.6,63.1,98.3,3.99,99.86,80.7,CE,Huế,Female
55,21,30.1,91.0,73.9,4.3,8.0,4.8,61.3,86.9,3.74,93.44,74.08,CS,TP.HCM,Female
56,26,21.2,97.7,79.7,7.2,5.7,4.2,62.3,99.2,4.0,100.0,80.78,SE,Huế,Female
57,29,18.8,83.5,78.7,3.5,8.8,2.0,54.6,62.9,2.68,66.97,58.74,IT,Cần Thơ,Female
58,19,37.9,73.8,81.0,,5.9,3.8,60.8,94.4,3.65,91.13,77.58,CS,Cần Thơ,Female
59,27,26.8,,100.0,6.4,6.2,4.7,59.0,87.7,3.32,83.04,73.35,DS,TP.HCM,Female
60,26,30.1,79.7,63.8,2.2,7.1,3.9,58.9,83.1,3.33,83.22,71.0,AI,Đà Nẵng,Male
61,27,18.4,78.1,69.3,8.4,8.1,3.8,47.7,54.0,2.29,57.29,50.82,IT,TP.HCM,Female
62,22,15.2,67.0,100.0,2.8,7.8,2.8,50.3,75.9,3.01,75.37,63.1,SE,Huế,Female
63,19,20.4,90.7,70.8,7.9,6.9,1.1,38.0,81.2,3.58,89.39,59.57,DS,Đà Nẵng,Male
64,21,,68.8,85.9,6.3,7.3,5.3,53.6,80.9,3.35,83.72,67.22,SE,Đà Nẵng,Female
65,29,16.5,77.5,95.5,4.9,8.3,2.4,51.3,65.4,2.55,63.84,58.34,AI,Hà Nội,Female
66,29,24.9,90.9,87.3,3.2,7.0,4.3,61.8,84.1,3.33,83.29,72.94,CE,Cần Thơ,Male
67,24,11.5,92.2,82.9,6.8,6.0,6.2,55.8,68.1,2.61,65.31,61.91,AI,TP.HCM,Female
68,29,16.0,78.5,94.1,3.8,6.3,3.9,47.7,67.2,2.78,69.59,57.48,CE,TP.HCM,Female
69,30,30.4,83.7,66.6,9.0,8.1,4.3,66.6,100.0,3.92,98.04,83.28,CE,TP.HCM,Male
70,25,29.8,76.3,72.6,9.1,6.0,1.1,63.4,86.8,3.51,87.77,75.08,IT,Huế,Male
71,20,21.9,79.5,88.0,10.1,5.1,1.4,55.3,72.8,3.22,80.41,64.03,AI,Huế,Male
72,18,16.9,87.7,49.0,6.7,6.6,4.4,40.4,70.8,2.92,73.12,55.6,CE,Hà Nội,Male
73,21,16.8,,100.0,5.0,6.9,1.7,57.8,75.4,3.01,75.14,66.58,AI,TP.HCM,Male
74,19,22.0,82.6,84.6,,8.0,0.5,54.6,84.7,3.34,83.61,69.66,SE,Đà Nẵng,Female
75,25,,70.4,82.3,5.1,5.3,0.0,56.3,97.9,4.0,100.0,77.09,IT,Cần Thơ,Male
76,21,32.4,96.3,55.5,6.6,7.4,2.2,55.1,92.7,3.79,94.65,73.89,AI,Huế,Male
77,19,21.0,90.1,60.7,7.1,8.4,2.2,36.0,81.4,3.41,85.14,58.65,CS,Đà Nẵng,Female
78,23,15.8,92.9,74.0,9.1,6.0,4.0,65.0,81.2,3.13,78.28,73.11,DS,Hà Nội,Male
79,23,27.1,97.9,92.1,,7.1,1.0,62.3,100.0,3.73,93.35,81.17,AI,TP.HCM,Male
80,27,18.4,76.7,48.9,2.5,4.4,4.6,42.0,78.6,3.4,84.99,60.3,AI,Hà Nội,Male
81,21,20.9,81.4,91.8,5.0,8.0,0.7,43.4,68.5,2.95,73.79,55.93,AI,Đà Nẵng,Female
82,23,35.6,66.1,74.6,9.9,8.0,0.7,59.5,100.0,3.79,94.71,79.76,CE,Hà Nội,Female
83,30,31.6,100.0,76.6,2.1,7.0,2.7,69.8,100.0,4.0,100.0,84.89,DS,Huế,Male
84,19,26.3,83.5,83.8,7.8,5.4,2.6,62.0,78.8,3.42,85.62,70.36,SE,Đà Nẵng,Female
85,27,14.8,95.4,84.0,5.0,7.8,3.4,55.5,67.0,2.6,65.07,61.28,IT,Đà Nẵng,Male
86,29,26.7,72.6,69.3,3.8,6.7,0.7,49.3,92.4,3.69,92.18,70.83,IT,Cần Thơ,Male
87,19,,95.0,89.4,7.0,3.7,3.0,63.0,100.0,4.0,100.0,81.51,IT,Cần Thơ,Female
88,27,22.0,100.0,45.2,9.9,7.9,0.0,57.4,95.9,4.0,100.0,76.7,IT,Huế,Male
89,21,35.8,84.4,73.2,6.9,8.4,0.0,64.1,96.0,3.69,92.35,80.05,IT,Huế,Male
90,25,35.3,74.9,82.3,5.3,8.6,5.2,66.8,93.5,3.61,90.31,80.17,CS,Huế,Female
91,24,38.3,83.6,74.8,2.8,5.5,4.1,78.1,94.6,3.74,93.48,86.35,CE,Hà Nội,Female
92,29,27.4,62.7,52.6,5.8,4.7,2.5,56.6,78.6,3.19,79.86,67.56,SE,Cần Thơ,Male
93,26,29.7,84.6,91.4,2.7,6.5,0.0,55.6,91.7,3.77,94.3,73.62,SE,Đà Nẵng,Male
94,25,36.3,93.2,61.3,5.2,7.6,1.8,55.3,100.0,3.75,93.74,77.66,AI,TP.HCM,Male
95,22,28.6,84.6,79.0,5.8,5.9,3.2,60.4,87.9,3.39,84.81,74.15,DS,TP.HCM,Female
96,30,21.0,82.2,82.3,0.1,5.1,1.8,48.1,73.8,2.58,64.42,60.95,IT,Hà Nội,Female
97,19,21.4,90.3,80.3,9.5,7.9,4.8,57.8,84.6,3.54,88.44,71.22,IT,TP.HCM,Female
98,22,26.9,91.0,97.5,2.9,6.6,3.4,61.6,97.3,3.9,97.58,79.44,SE,Hà Nội,Male
99,25,14.7,68.4,79.2,5.5,7.7,1.1,58.0,81.9,3.23,80.85,69.97,SE,Huế,Female
100,27,23.9,,86.4,7.3,7.0,0.1,57.4,79.3,3.09,77.19,68.35,DS,Cần Thơ,Male
101,26,33.8,100.0,79.2,9.3,6.8,3.8,68.7,100.0,3.97,99.2,84.37,CE,Huế,Female
102,29,,71.6,89.2,4.0,6.9,3.8,36.4,54.3,2.25,56.29,45.34,DS,Hà Nội,Male
103,29,37.3,,100.0,,6.6,3.6,54.8,95.0,3.56,89.01,74.9,DS,Đà Nẵng,Female
104,29,34.0,100.0,82.1,8.7,6.4,5.0,73.5,100.0,3.85,96.32,86.77,IT,Đà Nẵng,Female
105,30,21.3,96.0,91.7,2.9,5.7,3.2,64.4,85.0,3.2,79.94,74.74,SE,Huế,Male
106,26,29.3,79.9,100.0,6.9,7.6,2.6,56.5,78.3,2.62,65.45,67.41,CE,TP.HCM,Female
107,30,25.0,87.1,100.0,7.1,8.5,3.6,42.3,74.6,3.34,83.53,58.48,CS,Đà Nẵng,Male
108,30,34.8,85.0,74.2,0.0,6.4,4.4,74.1,92.3,3.83,95.68,83.18,CE,Hà Nội,Female
109,18,32.9,77.5,95.5,2.0,9.2,3.5,70.2,96.5,3.7,92.45,83.35,DS,TP.HCM,Female
110,26,13.8,84.3,83.7,4.8,7.5,2.5,47.1,65.4,2.66,66.6,56.26,CE,Hà Nội,Male
111,24,29.7,82.2,96.8,0.0,7.3,4.0,67.6,88.8,3.32,83.0,78.22,CE,Huế,Female
112,26,23.4,86.1,88.5,2.7,7.8,2.6,55.1,82.9,3.42,85.42,69.02,CE,TP.HCM,Male
113,25,25.7,77.5,84.1,6.3,8.2,1.8,57.5,64.2,3.05,76.18,60.83,DS,Đà Nẵng,Male
114,18,19.2,72.2,86.5,5.8,6.5,2.7,38.0,64.6,2.78,69.4,51.33,SE,Đà Nẵng,Male
115,29,39.0,84.6,83.8,6.8,7.7,2.0,76.1,100.0,3.6,90.1,88.05,CS,Cần Thơ,Female
116,25,33.3,100.0,84.4,7.1,8.3,2.4,51.8,100.0,3.69,92.33,75.92,IT,Huế,Female
117,25,19.1,85.8,77.6,1.8,6.5,1.2,65.1,87.3,3.19,79.85,76.19,IT,TP.HCM,Male
118,28,14.3,81.7,76.2,,7.0,4.0,61.7,83.9,3.27,81.8,72.78,CE,Cần Thơ,Male
119,20,21.9,92.5,100.0,7.9,6.1,2.8,36.2,64.0,2.55,63.69,50.09,CS,Hà Nội,Male
120,18,28.5,,87.2,9.8,6.4,3.6,70.5,100.0,4.0,100.0,85.27,IT,Huế,Female
121,25,26.9,100.0,71.4,3.6,6.6,3.2,58.4,94.4,3.5,87.61,76.4,IT,Đà Nẵng,Female
122,20,35.0,85.0,75.8,6.6,5.9,1.1,67.2,96.2,3.85,96.36,81.71,DS,Hà Nội,Male
123,20,31.3,92.0,95.8,8.0,6.9,4.5,51.7,92.3,3.16,79.07,71.98,AI,Hà Nội,Male
124,18,32.8,77.5,69.0,6.6,7.4,2.2,58.8,100.0,3.79,94.85,79.38,SE,Hà Nội,Male
125,28,27.6,90.0,57.8,5.4,7.5,2.0,50.4,88.1,3.26,81.4,69.23,DS,Hà Nội,Male
126,22,13.9,87.8,58.9,4.4,6.0,2.8,42.7,68.5,2.31,57.76,55.56,SE,Huế,Male
127,27,23.4,84.4,54.1,11.0,6.3,2.9,64.4,92.9,3.87,96.68,78.65,AI,Cần Thơ,Female
128,24,33.5,80.0,60.5,6.2,8.0,6.4,69.6,95.0,3.67,91.73,82.3,SE,Huế,Female
129,27,24.6,78.6,62.3,7.0,6.3,3.4,61.4,77.8,3.15,78.72,69.61,CS,Đà Nẵng,Male
130,26,29.0,87.8,100.0,6.8,8.0,1.8,55.9,100.0,3.72,93.08,77.95,DS,TP.HCM,Female
131,29,22.5,91.3,79.3,4.0,6.1,5.3,50.4,69.1,3.0,74.98,59.73,DS,Đà Nẵng,Female
132,24,16.8,83.7,74.6,6.1,7.5,0.1,37.8,69.0,2.57,64.22,53.37,AI,TP.HCM,Female
133,26,24.0,87.9,58.3,5.2,7.9,1.8,61.3,86.2,3.67,91.79,73.76,CE,Đà Nẵng,Male
134,25,27.5,84.6,77.9,5.1,3.8,1.7,72.8,87.6,3.72,92.93,80.2,CS,Cần Thơ,Female
135,29,19.8,86.0,53.9,6.8,8.0,2.5,63.6,71.7,2.92,72.97,67.66,IT,Đà Nẵng,Male
136,19,23.1,83.0,74.5,3.7,8.6,3.0,55.0,80.4,3.29,82.17,67.71,AI,TP.HCM,Female
137,18,17.5,85.2,100.0,3.0,6.6,3.2,54.6,78.6,2.94,73.55,66.6,SE,Huế,Male
138,24,,100.0,90.0,7.3,7.4,3.1,67.3,100.0,3.68,91.9,83.66,AI,TP.HCM,Female
139,24,22.6,88.1,76.9,4.7,6.0,3.4,62.0,78.9,3.2,79.9,70.48,CE,Cần Thơ,Female
140,25,,91.5,90.5,5.1,7.4,2.4,79.3,100.0,4.0,100.0,89.63,CE,TP.HCM,Male
141,22,37.2,89.4,72.2,1.2,10.0,4.4,62.1,100.0,3.92,98.12,81.03,CS,Hà Nội,Male
142,20,24.4,82.4,68.0,,4.4,0.1,51.6,78.4,2.97,74.27,65.0,DS,TP.HCM,Female
143,29,16.9,97.9,100.0,7.3,6.4,0.0,50.2,75.4,2.84,71.12,62.83,CE,TP.HCM,Female
144,25,8.3,82.1,62.9,7.8,8.0,3.6,43.3,69.8,2.49,62.36,56.53,SE,Đà Nẵng,Female
145,23,13.2,95.6,74.7,7.0,8.5,2.0,54.7,61.3,2.64,66.1,58.02,IT,Đà Nẵng,Female
146,28,14.0,,84.6,2.2,5.3,5.1,47.3,57.7,2.17,54.19,52.46,IT,Huế,Female
147,20,36.0,75.4,66.0,6.6,6.2,4.1,56.9,100.0,3.81,95.27,78.47,IT,Hà Nội,Male
148,18,25.9,88.7,89.8,4.5,6.3,3.4,51.4,79.9,3.32,83.02,65.65,CS,Huế,Male
149,20,28.1,74.0,75.4,3.6,6.2,1.8,48.4,77.7,3.0,75.03,63.01,DS,Hà Nội,Male
150,22,7.2,90.4,90.0,7.3,6.9,3.5,43.2,57.7,2.19,54.7,50.43,DS,TP.HCM,Female
151,20,15.4,73.1,88.8,10.1,5.3,1.9,55.3,67.9,2.94,73.51,61.56,AI,Hà Nội,Male
152,18,32.1,,76.4,9.7,6.7,2.6,64.5,91.2,3.42,85.44,77.85,CS,Cần Thơ,Female
153,22,27.3,70.7,100.0,7.6,5.9,2.0,60.3,85.9,3.22,80.41,73.09,CS,TP.HCM,Female
154,27,23.8,100.0,70.0,5.9,6.9,2.9,49.7,95.3,3.43,85.79,72.49,SE,Hà Nội,Male
155,24,29.5,68.5,100.0,5.5,6.2,2.1,48.6,75.4,3.01,75.26,62.0,IT,Hà Nội,Male
156,24,38.1,85.1,97.6,3.7,6.8,4.0,67.7,98.6,3.82,95.62,83.11,IT,Đà Nẵng,Female
157,28,23.2,96.4,100.0,5.3,5.8,3.2,66.2,90.3,3.98,99.59,78.26,AI,Hà Nội,Female
158,26,25.6,95.4,82.6,8.3,8.1,1.7,64.8,100.0,3.88,97.04,82.4,CE,Huế,Female
159,27,26.5,93.5,68.2,10.6,6.6,1.8,53.9,85.9,3.57,89.14,69.88,CE,Cần Thơ,Male
160,27,44.1,81.8,100.0,4.0,7.0,0.6,87.6,100.0,3.83,95.65,93.78,IT,Đà Nẵng,Male
161,29,8.2,98.5,75.0,1.0,6.8,0.0,30.7,44.7,1.95,48.79,37.71,IT,TP.HCM,Female
162,30,30.5,94.1,67.8,4.7,7.0,3.9,62.2,89.4,3.87,96.63,75.78,IT,Huế,Female
163,20,,87.1,77.2,8.3,7.0,2.0,56.9,77.9,3.01,75.24,67.38,DS,TP.HCM,Female
164,24,29.5,87.4,65.3,11.2,8.0,0.7,58.7,82.5,3.26,81.61,70.57,CE,Huế,Male
165,18,19.7,82.0,87.9,9.3,6.7,3.2,56.0,78.3,3.09,77.26,67.19,AI,Đà Nẵng,Female
166,21,24.6,,70.9,9.2,6.1,1.4,53.3,78.6,3.2,79.99,65.98,IT,TP.HCM,Male
167,30,30.7,97.4,75.7,3.9,7.1,2.4,51.4,100.0,4.0,100.0,75.7,CS,Huế,Male
168,21,49.9,98.1,94.5,3.9,6.3,0.6,76.5,100.0,3.88,96.88,88.24,CE,TP.HCM,Male
169,22,31.5,76.2,89.4,2.7,6.9,3.5,61.3,99.0,4.0,100.0,80.12,CS,Huế,Male
170,24,18.2,83.5,80.2,4.3,5.7,2.6,58.0,76.1,3.09,77.14,67.07,CS,Cần Thơ,Female
171,24,21.6,83.6,82.6,8.3,8.3,3.2,64.4,76.6,3.38,84.47,70.48,SE,Đà Nẵng,Male
172,30,21.4,84.7,80.2,10.1,6.1,1.9,47.3,82.2,3.36,83.92,64.77,CS,Cần Thơ,Female
173,28,10.6,85.6,73.5,6.9,8.4,2.9,58.4,60.8,2.15,53.82,59.6,IT,Cần Thơ,Male
174,30,22.4,94.5,80.0,5.4,6.9,0.3,52.7,93.2,3.87,96.76,72.96,CS,Hà Nội,Male
175,21,30.9,77.5,87.4,3.3,8.0,5.9,55.9,81.8,3.28,81.88,68.89,CS,TP.HCM,Male
176,30,14.8,76.5,78.1,5.7,6.1,3.1,44.5,72.0,2.82,70.62,58.27,AI,Cần Thơ,Female
177,24,33.4,97.4,86.3,6.5,4.6,5.1,50.0,97.4,4.0,100.0,73.72,SE,Huế,Male
178,28,28.9,80.4,67.4,2.3,5.0,2.1,55.6,79.7,3.03,75.84,67.65,IT,Đà Nẵng,Female
179,20,19.1,72.4,70.9,8.3,10.0,0.9,60.0,86.2,3.41,85.22,73.1,CE,Hà Nội,Female
180,23,23.9,80.1,69.0,4.9,6.3,1.8,58.5,98.5,3.84,95.94,78.52,DS,Đà Nẵng,Male
181,29,37.8,81.7,71.5,8.2,8.3,2.4,67.3,96.3,3.99,99.68,81.79,IT,Hà Nội,Male
182,19,30.9,100.0,99.3,6.0,5.4,2.3,65.8,94.3,3.71,92.71,80.06,AI,Huế,Male
183,27,25.1,94.2,90.9,6.7,7.2,5.3,67.4,91.8,3.7,92.49,79.59,IT,Cần Thơ,Male
184,30,23.1,96.5,63.8,4.2,7.4,1.2,50.2,91.0,3.67,91.84,70.61,IT,Cần Thơ,Male
185,26,25.6,93.2,86.6,5.1,10.0,1.6,65.0,100.0,4.0,100.0,82.48,DS,Hà Nội,Male
186,22,,94.5,74.1,7.6,6.6,3.6,55.3,79.5,3.09,77.16,67.44,AI,Cần Thơ,Female
187,23,8.2,78.1,69.8,5.7,6.1,0.1,37.0,58.3,2.57,64.29,47.61,AI,Huế,Female
188,29,41.3,83.0,57.7,3.2,7.4,2.4,71.9,100.0,4.0,100.0,85.97,IT,Cần Thơ,Male
189,29,26.2,75.1,94.6,6.3,5.9,2.7,56.6,79.9,3.57,89.3,68.24,IT,TP.HCM,Male
190,29,28.2,82.9,59.5,7.0,7.5,3.2,52.5,81.7,3.09,77.17,67.1,SE,Cần Thơ,Female
191,29,24.5,91.8,79.2,9.4,6.9,3.0,49.2,72.4,2.93,73.3,60.77,CE,Hà Nội,Female
192,21,19.1,86.3,65.8,8.9,6.1,5.5,49.0,81.8,2.96,73.88,65.42,DS,Hà Nội,Male
193,28,23.5,98.1,91.6,5.8,7.6,1.2,53.5,87.2,3.26,81.55,70.34,CS,Cần Thơ,Male
194,27,12.2,73.6,75.0,4.6,7.1,1.5,54.3,79.0,3.31,82.71,66.67,CS,Cần Thơ,Male
195,24,,90.0,78.0,5.4,7.9,3.4,69.3,100.0,3.98,99.41,84.65,SE,Huế,Female
196,29,,72.5,78.5,4.7,9.0,2.8,44.4,62.1,2.29,57.28,53.26,CS,TP.HCM,Male
197,26,16.7,85.9,84.5,7.3,6.4,3.0,58.9,67.7,2.86,71.62,63.32,AI,Cần Thơ,Male
198,24,21.5,92.4,80.2,8.6,6.5,0.4,65.1,100.0,4.0,100.0,82.55,IT,TP.HCM,Male
199,18,35.3,82.9,79.4,9.1,5.4,5.8,57.7,81.4,2.78,69.47,69.56,CS,Hà Nội,Female
200,18,25.1,90.5,72.2,5.0,7.6,3.2,48.1,80.3,3.43,85.85,64.21,IT,Huế,Male
201,26,15.1,75.4,56.4,4.7,6.2,0.1,51.5,67.2,2.7,67.5,59.35,DS,Cần Thơ,Female
202,28,35.0,,63.2,4.9,7.4,3.4,60.0,86.8,3.36,84.1,73.41,CE,Đà Nẵng,Female
203,26,30.8,90.6,90.8,1.2,8.4,0.8,57.6,87.1,3.21,80.37,72.36,SE,Đà Nẵng,Female
204,21,29.3,100.0,75.4,3.0,6.2,3.9,69.8,89.2,3.66,91.52,79.49,IT,Hà Nội,Male
205,30,30.7,75.0,70.0,5.9,6.4,0.5,57.3,83.3,3.24,80.88,70.32,AI,Hà Nội,Female
206,26,44.2,97.2,58.9,6.9,8.2,4.0,87.1,100.0,3.97,99.26,93.54,AI,Đà Nẵng,Male
207,20,42.5,85.4,54.2,7.2,7.8,0.7,70.0,100.0,4.0,100.0,85.02,DS,Đà Nẵng,Male
208,24,19.5,71.6,69.5,4.0,7.7,1.0,51.6,69.1,2.87,71.7,60.34,IT,TP.HCM,Female
209,23,38.0,73.7,93.3,4.8,6.5,2.7,81.3,100.0,4.0,100.0,90.67,SE,Hà Nội,Female
210,25,28.1,85.2,71.6,5.3,5.3,1.6,61.1,82.1,3.59,89.63,71.6,SE,Đà Nẵng,Female
211,28,29.0,81.0,86.0,5.0,6.1,1.7,53.6,88.5,3.18,79.57,71.02,CE,Đà Nẵng,Female
212,26,,71.9,71.0,7.7,5.8,0.2,36.7,59.2,2.25,56.32,47.95,SE,Huế,Male
213,22,23.6,68.1,89.6,2.7,7.7,2.0,49.5,78.6,3.36,84.05,64.06,AI,Đà Nẵng,Female
214,18,18.5,76.5,74.7,3.1,7.3,3.8,52.1,68.7,3.16,78.99,60.4,AI,Đà Nẵng,Female
215,20,31.6,86.9,61.5,5.3,6.3,5.3,68.6,89.4,3.81,95.25,79.01,DS,Đà Nẵng,Female
216,27,33.6,84.9,76.0,2.6,6.5,3.7,51.6,91.8,3.77,94.31,71.71,AI,Cần Thơ,Female
217,29,8.4,80.0,100.0,1.2,7.6,3.5,43.3,63.7,2.72,68.06,53.5,CS,Đà Nẵng,Female
218,25,24.8,87.0,100.0,2.3,6.6,0.0,66.3,82.8,3.48,87.05,74.54,CS,Hà Nội,Female
219,28,34.0,95.4,87.3,5.4,6.3,2.5,66.8,96.9,3.76,94.06,81.85,SE,Cần Thơ,Male
220,23,23.5,88.9,77.9,7.6,9.4,1.5,66.1,78.7,3.27,81.8,72.44,DS,Cần Thơ,Female
221,25,30.8,83.8,84.6,7.6,6.3,0.2,49.4,79.4,2.98,74.53,64.37,SE,Huế,Female
222,26,27.8,94.3,84.8,10.0,7.8,0.6,58.3,87.6,3.53,88.33,72.97,SE,Cần Thơ,Male
223,21,27.7,75.4,79.4,6.3,7.5,3.5,58.0,78.6,3.04,76.12,68.28,AI,Đà Nẵng,Male
224,18,22.8,82.8,86.6,6.6,5.2,1.7,58.7,89.3,3.67,91.7,74.0,CS,Huế,Male
225,18,15.3,83.0,83.1,5.4,6.2,0.3,42.5,68.8,2.65,66.21,55.68,DS,Huế,Male
226,27,16.0,72.6,75.3,5.5,8.0,1.5,51.0,79.5,3.19,79.87,65.26,CS,TP.HCM,Female
227,21,30.7,80.8,62.1,11.2,6.8,2.9,63.8,100.0,3.8,94.98,81.92,CE,Cần Thơ,Male
228,29,25.2,64.3,73.1,6.7,5.2,1.5,53.0,77.8,3.04,75.96,65.38,AI,Huế,Male
