DeviceType	ActiveHours	PowerUsage	Temperature	SignalStrength	FirmwareAge	Cluster
Speaker	10.17	59.83	36.29	-36.79	1	3
Plug	5.22	59.12	55.27	-69.64	4	0
Camera	12.41	58.73	27.35	-43.86	7	2
Light	14.57	36.35	23.8	-44.82	47	4
Light	22.07	55.41	50.81	-53.76	30	4
Plug	11.96	51.22	45.87	-38.37	26	0
Camera	15.8	106.99	28.72	-48.55	55	2
Speaker	11.56	49.51	41.39	-55.9	37	3
Camera	10.23	61.22	40.97	-64.45	19	2
Camera	16.43	81.62	34.05	-49.18	28	2
Sensor	22.44	90.09	40.27	-59.18	49	1
Light	6.57	79.36	44.29	-61.83	47	4
Light	7.8	68.83	50.13	-64.97	21	4
Sensor	10.97	72.59	38.64	-70.76	39	1
Sensor	12.34	35.95	44.9	-58.68	59	1
Light	11.63	64.97	39.6	-39.05	40	4
Light	16.41	71.89	37.22	-65.28	8	4
Camera	9.59	16.73	49.35	-36.14	34	2
Plug	10.47	44.16	27.85	-66.59	33	0
Speaker	14.84	49.4	35.29	-54.8	31	3
Plug	11.19	34.45	31.7	-38.59	6	0
Light	13.33	8.68	41.53	-53.94	55	4
Plug	10.54	70.85	26.94	-71.08	34	0
Camera	11.96	38.42	43.0	-60.86	34	2
Camera	13.79	97.99	44.99	-67.96	25	2
Light	13.14	16.74	38.81	-56.99	45	4
Sensor	11.88	51.56	44.36	-40.76	16	1
Light	10.28	50.06	54.49	-70.95	21	4
Light	11.2	34.56	31.65	-57.94	42	4
Plug	7.6	26.41	33.34	-46.86	52	0
Plug	10.26	83.82	45.82	-39.39	33	0
Light	8.66	45.95	42.76	-53.73	37	4
Plug	11.91	29.87	53.64	-66.34	17	0
Camera	10.06	42.95	35.47	-54.64	9	2
Camera	4.26	92.63	38.04	-76.04	45	2
Camera	14.02	84.67	24.03	-42.93	15	2
Light	17.74	34.63	50.85	-53.82	52	4
Sensor	19.16	19.84	27.36	-39.77	37	1
Camera	16.02	52.51	41.43	-61.43	22	2
Plug	13.49	72.75	43.45	-32.9	21	0
Light	8.58	53.33	26.7	-55.44	7	4
Plug	9.83	44.8	30.02	-41.34	57	0
Camera	20.04	72.69	38.1	-56.14	35	2
Sensor	14.23	87.77	32.04	-68.77	59	1
Camera	15.09	54.86	33.27	-72.75	53	2
Speaker	14.81	34.78	37.67	-44.75	19	3
Plug	10.08	51.84	30.95	-48.28	55	0
Sensor	21.05	56.54	50.14	-67.82	37	1
Plug	8.6	50.98	27.37	-58.16	37	0
Light	16.49	58.95	26.68	-58.89	51	4
Camera	9.36	45.82	46.83	-34.45	44	2
Light	16.0	49.04	36.32	-64.79	9	4
Plug	19.81	34.25	38.23	-64.02	7	0
Light	20.64	46.1	35.72	-67.85	25	4
Camera	3.08	71.32	38.13	-58.04	47	2
Plug	12.34	27.08	41.28	-69.43	57	0
Speaker	9.35	56.32	42.82	-57.71	7	3
Light	12.56	63.03	57.11	-51.35	7	4
Plug	15.5	60.67	35.01	-67.25	28	0
Plug	16.04	26.45	44.12	-61.93	15	0
Light	12.55	74.16	40.05	-60.98	16	4
Light	5.89	23.22	30.96	-67.72	13	4
Speaker	14.17	30.19	35.68	-52.82	39	3
Camera	8.88	54.76	35.15	-42.47	48	2
Light	16.09	67.15	37.45	-60.44	4	4
Sensor	13.46	33.75	32.6	-44.92	21	1
Sensor	7.65	61.56	36.51	-61.44	6	1
Camera	24.0	57.6	33.58	-58.53	35	2
Plug	14.84	37.14	37.65	-59.88	6	0
Camera	11.69	44.83	27.85	-45.52	60	2
Camera	13.32	27.25	28.71	-44.09	58	2
Speaker	7.26	74.03	50.25	-50.79	12	3
Plug	11.55	70.59	24.92	-45.66	49	0
Speaker	12.07	32.89	59.2	-49.87	42	3
Plug	13.61	66.04	30.56	-56.42	10	0
Sensor	4.65	32.72	42.36	-49.72	42	1
Light	12.84	82.98	36.13	-49.82	22	4
Speaker	17.25	62.09	26.47	-60.58	24	3
Camera	4.21	83.15	34.05	-51.42	14	2
Light	9.85	39.3	43.0	-67.49	6	4
Camera	15.82	82.36	45.91	-71.85	34	2
Camera	7.39	54.58	33.29	-49.28	28	2
Plug	23.57	66.85	12.33	-36.54	13	0
Sensor	11.63	52.3	45.35	-52.26	56	1
Light	16.94	35.39	42.09	-47.59	7	4
Speaker	12.08	57.65	39.29	-47.42	3	3
Speaker	6.36	32.75	47.22	-41.45	31	3
Sensor	10.48	46.81	49.04	-42.56	26	1
Plug	11.75	35.4	54.13	-45.86	32	0
Plug	11.74	30.05	37.58	-71.75	17	0
Speaker	7.87	23.86	40.45	-41.46	26	3
Light	12.77	80.12	27.78	-64.59	15	4
Plug	9.87	39.17	34.64	-61.55	35	0
Camera	6.11	55.82	41.29	-61.09	31	2
Sensor	9.53	92.55	40.21	-58.12	19	1
Sensor	13.09	54.2	53.03	-48.45	30	1
Sensor	14.68	49.29	38.62	-56.86	50	1
Light	8.37	27.68	48.03	-53.07	11	4
Camera	14.18	69.54	28.09	-51.77	57	2
Speaker	11.0	58.81	40.32	-69.05	41	3
Camera	19.86	57.78	36.62	-65.94	33	2
Light	9.93	57.57	44.27	-88.84	13	4
Plug	12.9	18.14	19.12	-41.2	14	0
Light	15.33	37.39	40.72	-62.88	11	4
Plug	14.1	54.19	46.31	-55.72	28	0
Sensor	13.37	82.79	36.91	-64.82	15	1
Plug	11.9	64.33	38.67	-53.71	54	0
Camera	8.34	49.44	38.61	-59.12	20	2
Speaker	9.08	35.15	33.65	-59.99	3	3
Sensor	19.19	27.27	33.3	-81.04	40	1
Plug	7.5	97.8	29.58	-55.98	50	0
Light	7.83	41.49	29.18	-59.4	12	4
Sensor	13.25	52.88	42.89	-41.07	58	1
Plug	4.38	46.17	36.36	-72.27	28	0
Sensor	10.64	52.74	43.69	-38.22	28	1
Camera	16.56	31.65	33.24	-58.65	27	2
Light	9.34	38.91	39.2	-58.11	33	4
Speaker	13.28	65.58	22.27	-52.75	13	3
Light	11.96	50.37	31.72	-42.91	25	4
Camera	14.39	51.62	36.8	-57.09	27	2
Camera	9.54	36.92	34.0	-51.43	37	2
Plug	8.93	47.76	33.95	-65.01	34	0
Plug	11.96	66.91	43.93	-32.82	1	0
Speaker	7.71	55.0	34.29	-60.76	9	3
Camera	19.14	68.93	38.23	-63.02	48	2
Sensor	12.78	50.13	41.28	-50.08	32	1
Light	19.08	42.76	46.33	-61.42	12	4
Speaker	12.17	42.34	34.55	-65.1	53	3
Camera	13.95	44.66	36.32	-56.35	2	2
Plug	9.35	27.96	26.62	-44.6	42	0
Plug	6.74	51.54	32.4	-46.89	29	0
Light	9.28	5.0	44.7	-43.13	44	4
Sensor	5.22	62.34	31.04	-68.52	56	1
Sensor	11.47	68.67	30.96	-54.76	55	1
Plug	19.78	48.57	33.57	-62.71	19	0
Plug	9.99	41.9	45.97	-60.4	23	0
Plug	15.41	39.54	39.05	-47.16	44	0
Speaker	18.49	75.43	35.21	-61.97	7	3
Light	15.62	50.9	42.05	-45.14	46	4
Camera	13.35	51.33	47.56	-56.7	51	2
Speaker	14.71	52.38	47.97	-45.46	3	3
Light	18.38	41.58	26.06	-59.75	53	4
Speaker	16.45	23.72	44.4	-35.66	41	3
Speaker	12.26	87.34	33.99	-54.41	27	3
Camera	9.16	54.825	37.33	-50.59	52	2
Camera	9.24	53.63	39.18	-75.96	8	2
Sensor	12.13	40.01	41.28	-47.79	35	1
Plug	19.75	29.68	36.49	-79.92	42	0
Sensor	15.92	27.66	37.72	-55.32	14	1
Plug	10.82	73.86	49.11	-62.65	24	0
Speaker	12.35	79.55	43.16	-47.42	54	3
Plug	7.93	36.06	43.4	-34.94	2	0
Camera	18.46	88.61	45.81	-55.43	16	2
Plug	11.1	78.81	18.28	-66.04	3	0
Camera	23.38	36.87	17.25	-60.43	49	2
Light	7.18	38.13	35.89	-76.3	58	4
Camera	16.01	44.25	36.45	-84.26	29	2
Plug	8.74	44.63	41.76	-59.57	12	0
Light	9.0	64.6	40.7	-43.03	36	4
Light	9.21	35.67	52.15	-41.61	18	4
Sensor	10.25	70.87	49.12	-41.26	5	1
Sensor	6.35	90.51	43.95	-71.23	59	1
Camera	10.43	80.8	30.72	-76.72	25	2
Sensor	14.91	53.23	24.43	-74.19	6	1
Light	8.14	94.46	39.13	-75.74	7	4
Plug	17.14	30.88	42.52	-42.6	22	0
Sensor	4.68	68.89	36.96	-40.47	44	1
Plug	5.93	33.94	30.85	-59.46	6	0
Camera	11.74	76.78	43.19	-60.69	22	2
Sensor	10.85	78.77	39.64	-61.51	49	1
Speaker	9.16	88.07	41.42	-66.18	38	3
Speaker	12.45	62.15	28.63	-51.43	44	3
Sensor	7.02	34.08	26.72	-57.91	30	1
Speaker	11.2	79.31	21.97	-75.78	23	3
Camera	12.32	25.8	42.12	-42.79	34	2
Speaker	6.07	67.52	30.18	-60.49	51	3
Speaker	13.2	42.86	47.5	-62.49	39	3
Light	14.5	74.47	56.38	-67.37	24	4
Plug	16.82	37.55	29.29	-66.78	51	0
Speaker	4.64	79.16	29.92	-66.3	49	3
Speaker	13.57	34.72	37.17	-73.03	35	3
Camera	15.7	40.85	34.25	-77.98	26	2
Light	11.96	83.22	51.56	-70.75	28	4
Light	16.35	49.72	31.15	-62.68	51	4
Sensor	13.98	64.36	49.64	-82.87	56	1
Light	3.04	20.48	42.26	-66.33	35	4
Plug	16.91	69.62	36.21	-66.56	8	0
Camera	11.09	69.55	41.16	-84.23	40	2
Sensor	8.23	55.59	34.36	-61.62	60	1
Sensor	10.53	67.43	51.97	-79.66	26	1
Light	11.96	42.46	37.35	-53.84	10	4
Plug	15.58	29.99	28.97	-58.72	19	0
Camera	10.46	64.3	37.76	-52.01	26	2
Speaker	16.72	121.82	34.25	-69.33	35	3
Light	5.64	80.76	24.39	-39.94	33	4
Light	14.26	71.7	25.36	-60.74	9	4
Sensor	16.06	90.36	25.12	-54.63	43	1
Light	7.51	41.96	33.99	-68.2	46	4
Light	5.14	45.4	40.09	-66.9	53	4
Camera	14.1	62.66	34.91	-64.99	20	2
Camera	1.0	5.6	62.03	-79.95	18	2
Camera	16.51	40.59	26.25	-50.77	25	2
Light	12.78	81.56	43.33	-65.49	43	4
Light	12.16	104.53	51.64	-56.06	4	4
Plug	12.46	35.63	22.29	-69.06	41	0
Light	12.32	45.8	31.57	-66.06	19	4
Plug	12.5	32.03	48.03	-60.68	13	0
Camera	16.39	56.64	48.9	-78.35	56	2
Camera	11.42	68.09	17.81	-62.34	54	2
Sensor	13.81	74.13	41.42	-70.57	9	1
Camera	9.94	54.825	39.07	-56.11	45	2
Sensor	9.73	90.5	47.15	-58.33	50	1
Plug	11.37	43.51	40.54	-45.36	10	0
Plug	15.87	54.65	47.6	-46.97	59	0
Camera	9.59	52.3	38.12	-62.64	9	2
Plug	15.02	24.13	39.48	-66.7	20	0
Sensor	17.42	46.66	35.82	-58.61	4	1
Camera	13.69	61.87	31.92	-78.07	7	2
Sensor	17.43	67.47	28.9	-45.89	57	1
Plug	13.34	92.03	25.57	-54.08	15	0
Camera	11.05	45.87	31.17	-67.18	29	2
Sensor	15.16	57.37	40.18	-63.12	43	1
Sensor	8.24	67.57	43.22	-54.8	56	1
Light	8.12	67.81	48.8	-61.16	30	4
Plug	5.82	44.57	39.69	-50.9	4	0
Plug	2.76	47.31	39.97	-58.88	24	0
Light	9.16	57.07	28.85	-51.08	37	4
Light	9.72	54.825	32.12	-80.83	16	4
Speaker	12.88	27.71	51.65	-51.92	47	3
Speaker	2.21	32.92	41.96	-61.89	48	3
Speaker	12.56	5.0	30.62	-67.34	20	3
Light	5.87	60.03	42.48	-56.71	54	4
Light	7.31	33.25	16.57	-57.64	37	4
Plug	12.47	55.43	22.96	-37.05	23	0
Camera	12.37	18.42	46.09	-70.5	38	2
Sensor	19.51	69.6	33.28	-74.64	48	1
Camera	12.18	64.68	34.93	-49.56	19	2
Plug	6.78	41.08	38.78	-68.0	58	0
Light	13.72	54.825	38.63	-57.4	14	4
Camera	16.43	21.34	48.4	-52.4	16	2
Plug	16.44	73.9	17.32	-49.18	44	0
Light	13.44	40.46	40.49	-47.89	48	4
Sensor	20.84	37.56	28.67	-71.18	2	1
Light	14.28	72.13	40.33	-62.9	47	4
Plug	14.96	9.69	21.03	-50.19	48	0
Speaker	3.65	47.82	41.68	-54.4	36	3
Speaker	7.77	39.83	55.65	-63.95	9	3
Camera	17.83	90.92	35.88	-70.66	2	2
Light	19.73	44.16	29.23	-54.83	57	4
Sensor	16.82	91.84	63.09	-59.02	28	1
Plug	13.15	77.95	22.77	-43.06	39	0
Plug	11.02	66.2	36.65	-44.74	17	0
Plug	11.55	54.01	52.24	-90.0	2	0
Plug	12.48	43.15	44.53	-41.84	28	0
Speaker	14.87	53.42	26.19	-62.79	7	3
Sensor	10.46	36.6	45.11	-75.9	51	1
Light	16.66	49.78	51.29	-54.39	37	4
Plug	14.99	27.9	49.7	-57.92	60	0
Plug	11.45	46.16	34.41	-40.77	52	0
Light	9.89	8.32	33.45	-68.28	37	4
Plug	15.49	21.56	37.83	-48.17	38	0
Light	8.34	58.43	43.6	-34.39	40	4
Light	4.21	14.43	26.16	-57.78	40	4
Sensor	14.8	25.89	18.09	-51.84	52	1
Plug	18.37	80.16	34.71	-44.8	36	0
Camera	11.03	50.41	50.03	-57.37	1	2
Plug	8.46	92.28	37.54	-59.7	30	0
Camera	4.79	22.46	48.39	-61.72	29	2
Light	15.06	10.94	48.34	-56.36	9	4
Sensor	5.85	79.34	42.63	-51.12	58	1
Speaker	9.69	78.98	50.77	-81.69	4	3
Camera	11.96	86.13	47.97	-66.66	14	2
Sensor	13.82	36.06	38.93	-54.56	59	1
Light	8.95	28.3	35.7	-82.7	15	4
Speaker	5.79	82.9	41.24	-72.68	2	3
Speaker	5.15	5.0	51.06	-64.25	1	3
Speaker	4.59	53.15	48.32	-46.72	7	3
Camera	12.44	32.78	43.32	-68.91	60	2
Sensor	15.76	32.31	52.76	-40.96	33	1
Sensor	9.12	57.92	41.43	-52.49	19	1
Plug	14.61	46.74	26.26	-62.14	44	0
Light	14.92	59.27	30.07	-78.22	57	4
Plug	12.26	12.46	34.5	-38.22	37	0
Light	9.62	81.18	33.44	-56.5	34	4
Light	10.52	81.06	43.7	-72.34	54	4
Speaker	10.0	35.52	24.43	-66.48	25	3
Speaker	11.72	100.39	25.54	-41.36	34	3
Camera	9.77	19.23	42.53	-77.63	2	2
Light	14.42	85.01	38.9	-40.96	51	4
Sensor	16.72	37.18	47.79	-56.41	46	1
Camera	10.35	21.55	26.5	-54.37	27	2
Camera	14.63	32.43	35.45	-45.71	37	2
Light	18.12	46.64	51.86	-52.39	39	4
Light	12.9	54.86	38.03	-57.31	56	4
Plug	15.5	54.27	17.47	-56.41	43	0
Light	14.13	12.78	35.01	-55.4	55	4
Plug	8.96	76.23	33.16	-67.68	28	0
Speaker	13.96	49.33	34.93	-48.74	17	3
Light	14.26	33.12	15.1	-65.87	1	4
Plug	11.71	44.84	62.83	-76.8	32	0
Light	8.83	69.06	28.81	-42.77	55	4
Camera	11.98	91.49	37.01	-37.43	6	2
Plug	13.1	45.09	23.17	-41.36	48	0
Light	9.77	85.68	40.19	-53.06	3	4
Speaker	9.03	76.92	46.32	-65.51	30	3
Light	17.61	51.9	37.12	-47.48	53	4
Camera	16.35	69.88	37.13	-41.7	19	2
Plug	8.7	29.9	29.09	-52.96	9	0
Camera	14.45	56.18	38.29	-53.95	58	2
Camera	6.82	47.67	45.69	-59.84	8	2
Sensor	12.79	26.98	27.75	-77.24	42	1
Speaker	9.81	24.01	42.69	-51.81	47	3
Camera	11.83	36.84	40.46	-51.33	40	2
Light	16.47	93.2	46.05	-58.9	42	4
Light	17.62	35.86	41.05	-71.7	14	4
Plug	11.12	61.58	22.14	-64.73	30	0
Light	7.4	77.8	40.84	-67.29	44	4
Camera	4.92	88.7	25.84	-64.55	31	2
Camera	17.74	53.32	43.54	-52.08	53	2
Sensor	13.46	31.02	41.78	-52.65	54	1
Light	15.31	44.11	33.62	-42.96	5	4
Speaker	12.47	76.71	34.32	-55.23	52	3
Speaker	10.64	42.25	35.34	-55.08	5	3
Light	13.09	76.81	46.65	-65.69	43	4
Camera	11.77	36.72	34.89	-52.16	22	2
Camera	8.52	54.24	35.61	-49.51	8	2
Light	8.97	85.41	35.28	-61.56	56	4
Camera	19.4	43.92	43.98	-81.64	16	2
Light	11.39	44.48	36.99	-54.9	48	4
Speaker	11.14	53.59	47.59	-90.0	59	3
Plug	11.96	80.18	47.26	-63.25	34	0
Light	6.27	51.6	26.21	-49.73	18	4
Sensor	12.06	51.82	29.25	-74.66	29	1
Speaker	6.49	84.52	46.76	-53.93	59	3
Light	20.1	73.47	39.72	-40.51	31	4
Sensor	10.1	103.78	56.99	-52.64	10	1
Plug	6.18	45.7	43.75	-37.12	7	0
Plug	4.28	56.96	49.05	-88.69	50	0
Plug	12.04	46.97	40.35	-46.27	47	0
Camera	11.75	38.67	37.73	-64.32	7	2
Speaker	9.26	57.65	46.01	-56.76	59	3
Light	8.06	54.825	36.65	-62.83	6	4
Plug	19.47	76.55	42.03	-39.88	20	0
Sensor	13.21	37.21	48.88	-51.65	6	1
Plug	19.08	54.63	40.46	-63.69	31	0
Camera	4.18	5.0	37.12	-76.52	25	2
Plug	12.04	60.75	29.57	-70.63	41	0
Sensor	15.52	34.32	42.73	-25.98	25	1
Light	16.82	65.47	46.76	-64.27	40	4
Camera	9.86	66.08	42.01	-46.54	6	2
Camera	17.11	41.34	31.62	-63.92	25	2
Speaker	9.83	40.86	27.64	-63.57	29	3
Camera	15.7	31.44	42.65	-62.63	41	2
Light	12.25	50.65	51.55	-66.78	51	4
Plug	11.03	46.87	53.4	-55.98	39	0
Light	7.57	54.77	27.45	-42.96	44	4
Camera	11.75	67.62	46.18	-34.65	54	2
Sensor	14.94	93.18	35.05	-66.72	19	1
Camera	15.56	88.32	39.29	-47.93	48	2
Camera	11.71	25.86	30.71	-50.24	23	2
Speaker	9.38	42.21	43.57	-59.28	59	3
Sensor	14.84	27.82	44.09	-52.02	44	1
Light	24.0	49.54	24.62	-51.94	59	4
Sensor	17.93	58.23	24.52	-75.79	20	1
Light	8.49	43.21	30.7	-54.52	43	4
Plug	9.34	22.63	47.92	-47.88	33	0
Light	11.99	45.29	22.91	-49.18	53	4
Camera	14.73	46.81	47.12	-51.6	51	2
Speaker	10.36	72.55	39.51	-54.57	28	3
Camera	17.27	81.86	32.3	-70.24	14	2
Plug	10.16	73.61	41.77	-59.46	55	0
Light	17.49	41.29	48.21	-59.24	23	4
Camera	8.7	61.64	48.65	-62.64	32	2
Light	15.11	59.92	39.76	-62.01	24	4
Light	9.21	64.34	28.36	-44.0	17	4
Light	5.18	34.49	46.65	-56.24	3	4
Light	13.39	60.67	25.68	-49.3	3	4
Camera	9.62	67.2	50.82	-65.97	37	2
Light	8.84	54.86	20.44	-39.21	46	4
Light	4.79	42.78	38.74	-53.11	22	4
Speaker	13.49	58.39	47.81	-59.53	26	3
Camera	15.0	56.26	39.82	-49.33	30	2
Speaker	11.35	51.24	55.47	-60.6	3	3
Light	9.48	47.9	42.47	-50.4	11	4
Plug	10.59	82.2	22.75	-78.9	49	0
Plug	15.78	25.78	60.29	-81.73	43	0
Camera	8.01	77.96	45.61	-47.57	1	2
Plug	13.58	76.52	44.06	-85.42	24	0
Plug	10.77	50.11	37.15	-41.8	52	0
Speaker	16.28	55.42	53.63	-62.98	57	3
Light	15.93	45.17	34.15	-45.42	60	4
Sensor	11.16	66.53	42.42	-43.69	20	1
Light	8.93	88.72	48.43	-44.46	46	4
Speaker	11.91	58.63	31.76	-52.79	43	3
Camera	10.88	67.25	32.6	-77.47	31	2
Speaker	7.41	62.01	30.86	-73.75	15	3
Sensor	8.59	41.03	29.65	-71.01	25	1
Light	12.48	28.11	38.12	-54.1	11	4
Light	13.14	62.99	50.28	-63.94	25	4
Plug	15.07	20.67	31.66	-51.89	5	0
Camera	14.92	24.83	41.29	-50.66	9	2
Camera	10.8	56.95	40.52	-47.38	51	2
Light	8.87	25.72	37.8	-59.9	8	4
Sensor	9.49	58.46	40.74	-41.85	34	1
Light	20.45	122.93	25.42	-68.65	35	4
Speaker	13.71	24.35	36.12	-68.32	30	3
Light	14.07	55.62	31.46	-46.91	11	4
Plug	15.56	48.95	33.5	-79.15	59	0
Speaker	8.51	70.95	31.18	-61.3	7	3
Light	7.99	82.98	24.05	-51.92	60	4
Plug	16.42	28.09	41.33	-67.55	58	0
Camera	13.95	50.13	56.5	-81.76	32	2
Plug	15.41	53.18	40.7	-63.18	41	0
Light	8.18	54.825	55.19	-74.1	20	4
Camera	12.25	104.22	34.16	-65.93	57	2
Speaker	3.39	44.98	36.99	-40.91	47	3
Speaker	11.54	23.1	40.55	-45.11	59	3
Camera	19.7	82.57	20.22	-59.38	5	2
Plug	14.66	67.95	41.9	-42.39	29	0
Sensor	14.68	77.9	33.9	-37.43	12	1
Light	12.66	40.96	40.96	-46.18	5	4
Light	11.94	47.09	28.58	-60.79	6	4
Plug	6.92	87.58	51.52	-71.39	59	0
Sensor	11.64	73.89	36.66	-67.07	35	1
Light	12.57	29.15	38.5	-48.18	59	4
Sensor	13.84	5.95	26.78	-67.37	5	1
Speaker	15.74	72.88	29.92	-51.09	49	3
Camera	8.09	60.88	31.03	-46.86	47	2
Light	13.35	49.16	41.94	-64.71	18	4
Plug	9.02	54.825	45.5	-53.55	60	0
Camera	11.85	50.31	29.27	-55.89	22	2
Light	13.28	57.27	34.61	-64.83	54	4
Light	24.0	93.64	31.53	-37.42	16	4
Speaker	20.65	66.17	34.3	-54.25	33	3
Plug	11.03	47.66	25.36	-53.48	40	0
Light	14.0	49.23	29.96	-60.58	14	4
Plug	16.81	19.69	43.97	-54.45	32	0
Speaker	14.08	5.0	35.23	-65.81	24	3
Camera	11.03	61.88	54.92	-69.9	16	2
Sensor	12.94	78.16	41.62	-46.79	27	1
Plug	10.31	51.39	32.4	-70.13	33	0
Sensor	12.11	55.3	38.43	-58.25	6	1
Camera	12.09	23.75	37.67	-44.42	56	2
Sensor	9.57	28.76	35.58	-59.29	49	1
Plug	6.66	79.76	50.79	-53.3	51	0
Sensor	10.37	49.42	17.21	-72.09	2	1
Light	5.46	30.15	44.29	-83.37	24	4
Plug	11.25	63.0	51.3	-70.82	33	0
Plug	13.97	62.48	51.15	-44.46	57	0
Plug	21.78	90.84	33.62	-61.58	46	0
Plug	8.5	97.39	41.88	-60.87	51	0
Plug	14.52	10.05	49.27	-51.0	31	0
Light	6.28	28.65	30.89	-35.98	42	4
Sensor	16.08	66.92	47.46	-51.29	30	1
Sensor	8.73	23.21	37.74	-43.01	24	1
Sensor	12.93	38.29	37.97	-72.82	53	1
Camera	8.21	14.68	51.82	-64.13	28	2
Sensor	9.29	95.03	36.38	-68.28	44	1
Camera	8.95	73.33	43.35	-45.31	41	2
Speaker	5.21	48.11	44.18	-51.98	43	3
Sensor	8.92	73.69	28.99	-56.43	8	1
Sensor	7.39	53.01	45.29	-64.14	10	1
Speaker	9.38	50.13	43.14	-43.66	5	3
